ad_id,campaingn_id,ad_platfrom,ad_type,target_gender,target_age_gropu,target_interests
1001,1101,Instagram,Video,Male,30-25,Sports
1002,1102,Facebook,Stories,Female,45-60,Fashion
1003,1103,YouTube,Carousel,All,15-30,Tech
1004,1104,Twitter,Image,Male,25-40,Gaming
1005,1105,Instagram,Video,Female,20-50,Finance
1006,1106,Facebook,Stories,All,30-25,Travel
1007,1107,YouTube,Carousel,Male,45-60,Fitness
1008,1108,Twitter,Image,Female,15-30,Music
1009,1109,Instagram,Video,All,25-40,Health
1010,1110,Facebook,Stories,Male,20-50,Food
1011,1111,YouTube,Carousel,Female,30-25,Sports
1012,1112,Twitter,Image,All,45-60,Fashion
1013,1113,Instagram,Video,Male,15-30,Tech
1014,1114,Facebook,Stories,Female,25-40,Gaming
1015,1115,YouTube,Carousel,All,20-50,Finance
1016,1116,Twitter,Image,Male,30-25,Travel
1017,1117,Instagram,Video,Female,45-60,Fitness
1018,1118,Facebook,Stories,All,15-30,Music
1019,1119,YouTube,Carousel,Male,25-40,Health
1020,1120,Twitter,Image,Female,20-50,Food
1021,1121,Instagram,Video,All,30-25,Sports
1022,1122,Facebook,Stories,Male,45-60,Fashion
1023,1123,YouTube,Carousel,Female,15-30,Tech
1024,1124,Twitter,Image,All,25-40,Gaming
1025,1125,Instagram,Video,Male,20-50,Finance
1026,1126,Facebook,Stories,Female,30-25,Travel
1027,1127,YouTube,Carousel,All,45-60,Fitness
1028,1128,Twitter,Image,Male,15-30,Music
1029,1129,Instagram,Video,Female,25-40,Health
1030,1130,Facebook,Stories,All,20-50,Food
1031,1131,YouTube,Carousel,Male,30-25,Sports
1032,1132,Twitter,Image,Female,45-60,Fashion
1033,1133,Instagram,Video,All,15-30,Tech
1034,1134,Facebook,Stories,Male,25-40,Gaming
1035,1135,YouTube,Carousel,Female,20-50,Finance
1036,1136,Twitter,Image,All,30-25,Travel
1037,1137,Instagram,Video,Male,45-60,Fitness
1038,1138,Facebook,Stories,Female,15-30,Music
1039,1139,YouTube,Carousel,All,25-40,Health
1040,1140,Twitter,Image,Male,20-50,Food
1041,1141,Instagram,Video,Female,30-25,Sports
1042,1142,Facebook,Stories,All,45-60,Fashion
1043,1143,YouTube,Carousel,Male,15-30,Tech
1044,1144,Twitter,Image,Female,25-40,Gaming
1045,1145,Instagram,Video,All,20-50,Finance
1046,1146,Facebook,Stories,Male,30-25,Travel
1047,1147,YouTube,Carousel,Female,45-60,Fitness
1048,1148,Twitter,Image,All,15-30,Music
1049,1149,Instagram,Video,Male,25-40,Health
1050,1150,Facebook,Stories,Female,20-50,Food
1051,1151,YouTube,Carousel,All,30-25,Sports
1052,1152,Twitter,Image,Male,45-60,Fashion
1053,1153,Instagram,Video,Female,15-30,Tech
1054,1154,Facebook,Stories,All,25-40,Gaming
1055,1155,YouTube,Carousel,Male,20-50,Finance
1056,1156,Twitter,Image,Female,30-25,Travel
1057,1157,Instagram,Video,All,45-60,Fitness
1058,1158,Facebook,Stories,Male,15-30,Music
1059,1159,YouTube,Carousel,Female,25-40,Health
1060,1160,Twitter,Image,All,20-50,Food
1061,1161,Instagram,Video,Male,30-25,Sports
1062,1162,Facebook,Stories,Female,45-60,Fashion
1063,1163,YouTube,Carousel,All,15-30,Tech
